"","ID","MonthlyIncome"
"1",871,5578
"2",872,2736
"3",873,13069
"4",874,2700
"5",875,2821
"6",876,4356
"7",877,5626
"8",878,2519
"9",879,2971
"10",880,13581
"11",881,10607
"12",882,2821
"13",883,5531
"14",884,5483
"15",885,5721
"16",886,5574
"17",887,5898
"18",888,5697
"19",889,4607
"20",890,2700
"21",891,5493
"22",892,8785
"23",893,8785
"24",894,5531
"25",895,10423
"26",896,9115
"27",897,8977
"28",898,16440
"29",899,5721
"30",900,2783
"31",901,2761
"32",902,5769
"33",903,6102
"34",904,2881
"35",905,16384
"36",906,5436
"37",907,9709
"38",908,5738
"39",909,2519
"40",910,2548
"41",911,19224
"42",912,2717
"43",913,2821
"44",914,12598
"45",915,5738
"46",916,5058
"47",917,2642
"48",918,5483
"49",919,2356
"50",920,3123
"51",921,2518
"52",922,2459
"53",923,4697
"54",924,4981
"55",925,16272
"56",926,3002
"57",927,5721
"58",928,13648
"59",929,2459
"60",930,2881
"61",931,5959
"62",932,11757
"63",933,8881
"64",934,2579
"65",935,2459
"66",936,2640
"67",937,9352
"68",938,9870
"69",939,4796
"70",940,2356
"71",941,3304
"72",942,8977
"73",943,10607
"74",944,5574
"75",945,2302
"76",946,5568
"77",947,2356
"78",948,2642
"79",949,2734
"80",950,5626
"81",951,2971
"82",952,5626
"83",953,5700
"84",954,2761
"85",955,4697
"86",956,8836
"87",957,12259
"88",958,3002
"89",959,9936
"90",960,19274
"91",961,2783
"92",962,5493
"93",963,6030
"94",964,5587
"95",965,2595
"96",966,19237
"97",967,2736
"98",968,8881
"99",969,16317
"100",970,2700
"101",971,5578
"102",972,5832
"103",973,2700
"104",974,2548
"105",975,5615
"106",976,2689
"107",977,6425
"108",978,2783
"109",979,9744
"110",980,19124
"111",981,2626
"112",982,9360
"113",983,2761
"114",984,2572
"115",985,5626
"116",986,2877
"117",987,2548
"118",988,5578
"119",989,10247
"120",990,2642
"121",991,5891
"122",992,2736
"123",993,5587
"124",994,5483
"125",995,5531
"126",996,4951
"127",997,2642
"128",998,16446
"129",999,9073
"130",1000,2459
"131",1001,6800
"132",1002,5378
"133",1003,5415
"134",1004,6229
"135",1005,2971
"136",1006,5673
"137",1007,2410
"138",1008,5832
"139",1009,19212
"140",1010,4794
"141",1011,9744
"142",1012,5260
"143",1013,5864
"144",1014,4516
"145",1015,5673
"146",1016,2881
"147",1017,3002
"148",1018,8881
"149",1019,9073
"150",1020,2501
"151",1021,5673
"152",1022,5578
"153",1023,5647
"154",1024,10066
"155",1025,16440
"156",1026,19065
"157",1027,4678
"158",1028,5483
"159",1029,5436
"160",1030,-3898
"161",1031,5436
"162",1032,2768
"163",1033,11568
"164",1034,2548
"165",1035,4516
"166",1036,2548
"167",1037,5531
"168",1038,2893
"169",1039,11568
"170",1040,5898
"171",1041,2761
"172",1042,2783
"173",1043,8881
"174",1044,6102
"175",1045,2736
"176",1046,2459
"177",1047,5697
"178",1048,12225
"179",1049,2877
"180",1050,5578
"181",1051,11882
"182",1052,2881
"183",1053,5700
"184",1054,2783
"185",1055,2783
"186",1056,2761
"187",1057,5656
"188",1058,16429
"189",1059,7710
"190",1060,2783
"191",1061,5183
"192",1062,5779
"193",1063,6162
"194",1064,2464
"195",1065,5964
"196",1066,2700
"197",1067,3442
"198",1068,19419
"199",1069,5483
"200",1070,2518
"201",1071,2572
"202",1072,5942
"203",1073,2410
"204",1074,5832
"205",1075,5531
"206",1076,16362
"207",1077,19212
"208",1078,4607
"209",1079,5415
"210",1080,4719
"211",1081,2877
"212",1082,2689
"213",1083,2356
"214",1084,5959
"215",1085,8864
"216",1086,9840
"217",1087,5531
"218",1088,2783
"219",1089,2783
"220",1090,5531
"221",1091,5578
"222",1092,5959
"223",1093,11757
"224",1094,5578
"225",1095,5568
"226",1096,5738
"227",1097,3301
"228",1098,2700
"229",1099,2881
"230",1100,5820
"231",1101,19065
"232",1102,5626
"233",1103,5864
"234",1104,11278
"235",1105,2877
"236",1106,2877
"237",1107,2924
"238",1108,4981
"239",1109,5578
"240",1110,5531
"241",1111,6162
"242",1112,12598
"243",1113,12785
"244",1114,6102
"245",1115,10066
"246",1116,2877
"247",1117,6147
"248",1118,4607
"249",1119,9976
"250",1120,2734
"251",1121,9840
"252",1122,16373
"253",1123,5415
"254",1124,16429
"255",1125,2595
"256",1126,2356
"257",1127,2761
"258",1128,4697
"259",1129,16429
"260",1130,2640
"261",1131,11568
"262",1132,16440
"263",1133,5832
"264",1134,2640
"265",1135,3002
"266",1136,2761
"267",1137,3425
"268",1138,5721
"269",1139,9552
"270",1140,16524
"271",1141,5832
"272",1142,5721
"273",1143,10244
"274",1144,5436
"275",1145,6194
"276",1146,5626
"277",1147,4968
"278",1148,2640
"279",1149,2642
"280",1150,5898
"281",1151,2689
"282",1152,5626
"283",1153,4641
"284",1154,2459
"285",1155,6065
"286",1156,12728
"287",1157,2572
"288",1158,5028
"289",1159,2689
"290",1160,5697
"291",1161,2783
"292",1162,8864
"293",1163,3063
"294",1164,9115
"295",1165,2877
"296",1166,2519
"297",1167,9084
"298",1168,5531
"299",1169,2783
"300",1170,2877
